station_id,x_i,y_i
1017,4,4
1018,0,3
1019,7,7
1024,8,8
1025,9,9
1026,1,3
1028,3,3
1030,0,3
1031,0,3
1033,0,3
1038,2,3
1039,9,9
1040,0,3
1041,0,3
1042,0,3
1050,9,9
1051,3,3
1052,6,6
1055,3,3
1056,0,3
1057,0,3
1090,3,3
1091,2,3
1092,4,4
1093,1,3
1095,0,3
1096,4,4
1097,3,3
1098,6,6
1102,5,5
171,9,9
1720,0,3
1721,5,5
1722,0,3
1723,0,3
1724,0,3
1725,0,3
1726,1,3
1727,2,3
1728,8,8
1729,2,3
1730,4,4
1731,0,3
1737,3,3
1738,3,3
1739,0,3
1740,0,3
1743,2,3
1744,0,3
1745,3,3
1747,0,3
1748,5,5
1749,2,3
1752,2,3
1753,2,3
1754,0,3
1756,1,3
1757,5,5
1758,0,3
1763,3,3
1764,0,3
1765,1,3
1766,2,3
1767,2,3
1768,6,6
1769,3,3
1770,0,3
1798,0,3
1799,0,3
1800,0,3
1807,3,3
1808,5,5
1809,0,3
1813,0,3
1814,1,3
1815,0,3
1818,1,3
1819,0,3
1820,0,3
1821,4,4
1822,3,3
1823,5,5
1824,5,5
183,7,7
1857,0,3
1859,0,3
1860,0,3
1864,0,3
1865,0,3
1866,0,3
1868,0,3
1869,0,3
1870,0,3
1871,0,3
1874,0,3
1877,0,3
189,3,3
225,4,4
2259,1,3
2263,0,3
2265,0,3
2268,2,3
242,0,3
246,1,3
247,13,13
248,11,11
249,3,3
250,8,8
251,1,3
252,0,3
253,6,6
254,1,3
255,0,3
256,2,3
257,0,3
258,2,3
259,12,12
260,12,12
261,0,3
262,7,7
264,3,3
265,12,12
266,0,3
273,1,3
275,0,3
277,0,3
280,0,3
284,0,3
285,1,3
289,4,4
290,5,5
296,2,3
297,0,3
299,0,3
340,4,4
341,1,3
342,2,3
343,2,3
344,1,3
345,3,3
346,2,3
347,0,3
349,0,3
350,0,3
351,3,3
352,0,3
353,0,3
354,0,3
355,2,3
356,3,3
357,0,3
358,6,6
359,1,3
365,0,3
366,0,3
648,0,3
820,2,3
860,0,3
862,0,3
863,0,3
864,0,3
865,0,3
866,0,3
867,0,3
868,0,3
869,0,3
870,0,3
871,0,3
872,0,3
873,0,3
874,0,3
875,0,3
876,1,3
877,0,3
878,0,3
879,1,3
880,0,3
881,2,3
882,0,3
883,0,3
884,0,3
885,0,3
887,0,3
888,0,3
889,0,3
890,0,3
891,0,3
964,0,3
965,0,3
980,0,3
981,0,3
982,0,3
