started_at,ended_at,duration,start_station_id,start_station_name,start_station_description,start_station_latitude,start_station_longitude,end_station_id,end_station_name,end_station_description,end_station_latitude,end_station_longitude
2021-09-01 00:10:18.864000+00:00,2021-09-01 01:31:19.244000+00:00,4860,1024,Meadow Place,End of Meadow Place,55.94023763168944,-3.194640214184801,1814,Abbeyhill,Near Abbey Mount,55.95524788917224,-3.1722162800950704
2021-09-01 00:35:07.970000+00:00,2021-09-01 00:39:05.760000+00:00,237,1765,Haymarket Terrace,Corner of Magdala Crescent,55.946063966641006,-3.2230240243595745,1738,Wester Coates Terrace,Junction with Roseburn Terrace,55.94564841884953,-3.231847150914064
2021-09-01 01:05:23.848000+00:00,2021-09-01 01:22:48.573000+00:00,1044,1019,Grassmarket,West end of Grassmarket,55.947097278583385,-3.1972457326126005,1821,Drumsheugh Place,Corner with Drumsheugh Gardens,55.95159412232485,-3.2123542850940225
2021-09-01 01:32:57.076000+00:00,2021-09-01 01:44:27.173000+00:00,690,1052,Surgeons Hall,East side of Nicolson Street,55.94664279961712,-3.1854745859388918,1102,Haymarket Station,Haymarket Station,55.94556945067266,-3.21818468327956
2021-09-01 01:37:37.275000+00:00,2021-09-01 01:46:08.627000+00:00,511,1765,Haymarket Terrace,Corner of Magdala Crescent,55.946063966641006,-3.2230240243595745,1024,Meadow Place,End of Meadow Place,55.94023763168944,-3.194640214184801
2021-09-01 01:46:26.794000+00:00,2021-09-01 01:50:32.511000+00:00,245,1024,Meadow Place,End of Meadow Place,55.94023763168944,-3.194640214184801,1721,Tollcross,Outside Piccolinos off Lauriston Place,55.944248052468346,-3.2031045991104747
2021-09-01 01:51:24.685000+00:00,2021-09-01 01:55:05.659000+00:00,220,1102,Haymarket Station,Haymarket Station,55.94556945067266,-3.21818468327956,1738,Wester Coates Terrace,Junction with Roseburn Terrace,55.94564841884953,-3.231847150914064
2021-09-01 02:31:37.713000+00:00,2021-09-01 02:38:57.396000+00:00,439,1720,Dundas Street,On corner of Henderson Row,55.9607624081837,-3.201278014771333,1038,South Trinity Road,Corner of South Trinity Road and Ferry Road,55.97132539148155,-3.207963567424258
2021-09-01 03:26:46.077000+00:00,2021-09-01 04:02:17.686000+00:00,2131,246,Royal Commonwealth Pool,Royal Commonwealth Pool Entrance,55.93900024788877,-3.173923554315593,1763,Comely Bank Road,Outside Raeburn Place Sports Ground,55.95941012836135,-3.2156613606136943
2021-09-01 03:35:46.236000+00:00,2021-09-01 03:54:59.381000+00:00,1153,246,Royal Commonwealth Pool,Royal Commonwealth Pool Entrance,55.93900024788877,-3.173923554315593,1730,East London Street,Outside St Mary's Primary School,55.95995414501485,-3.1871977585476543
2021-09-01 04:07:55.316000+00:00,2021-09-01 05:35:47.961000+00:00,5272,358,Leith Walk,Leith Walk opposite Dalmeny Street,55.96517649040763,-3.1761801702076298,358,Leith Walk,Leith Walk opposite Dalmeny Street,55.96517649040763,-3.1761801702076298
2021-09-01 05:36:40.330000+00:00,2021-09-01 05:52:26.457000+00:00,946,250,Victoria Quay,Entrance to Scottish Government Office,55.97761715254634,-3.174126319457628,1728,Portobello - Kings Road,Foot of Kings Road next to the promenade,55.95791540692348,-3.118332042090288
2021-09-01 06:14:04.273000+00:00,2021-09-01 06:27:24.460000+00:00,800,265,Meadows East,Between Melville Terrace and Sciennes,55.939809466328285,-3.182738850746432,254,Kings Building 3,Kings Building House,55.92347880784664,-3.1753845849070785
2021-09-01 06:26:54.976000+00:00,2021-09-01 06:35:54.647000+00:00,539,1769,Brunswick Place,Corner of Elm Row/Brunswick Street,55.96085174106396,-3.180985762469163,1091,Holyrood Road,Opposite St Leonards Land,55.94955950619123,-3.180413257527789
2021-09-01 06:32:10.704000+00:00,2021-09-01 06:39:28.434000+00:00,437,1769,Brunswick Place,Corner of Elm Row/Brunswick Street,55.96085174106396,-3.180985762469163,1720,Dundas Street,On corner of Henderson Row,55.9607624081837,-3.201278014771333
2021-09-01 06:32:50.136000+00:00,2021-09-01 06:48:14.657000+00:00,924,358,Leith Walk,Leith Walk opposite Dalmeny Street,55.96517649040763,-3.1761801702076298,1756,Western General Hospital,Porterfield Road,55.96283984266853,-3.234135938375289
2021-09-01 06:42:33.550000+00:00,2021-09-01 07:42:34.180000+00:00,3600,1091,Holyrood Road,Opposite St Leonards Land,55.94955950619123,-3.180413257527789,1767,Bruntsfield Links,Corner of Bruntsfield Links next to Public Toilets,55.937123239991095,-3.206431879393449
2021-09-01 06:46:35.162000+00:00,2021-09-01 07:05:18.570000+00:00,1123,265,Meadows East,Between Melville Terrace and Sciennes,55.939809466328285,-3.182738850746432,1753,Waitrose Comely Bank,On Fettes Avenue next to Waitrose,55.95953624971772,-3.223434402338853
2021-09-01 07:13:10.622000+00:00,2021-09-01 07:18:48.339000+00:00,337,1767,Bruntsfield Links,Corner of Bruntsfield Links next to Public Toilets,55.937123239991095,-3.206431879393449,265,Meadows East,Between Melville Terrace and Sciennes,55.939809466328285,-3.182738850746432
2021-09-01 07:22:12.053000+00:00,2021-09-01 07:30:09.516000+00:00,477,1025,Dundee Terrace,Corner of Dundee Street & Dundee Terrace,55.93970989541296,-3.2205889336679547,247,Charlotte Square,North Corner of Charlotte Square,55.95233546161639,-3.2071011721072864
2021-09-01 07:23:51.326000+00:00,2021-09-01 07:37:17.105000+00:00,805,1720,Dundas Street,On corner of Henderson Row,55.9607624081837,-3.201278014771333,250,Victoria Quay,Entrance to Scottish Government Office,55.97761715254634,-3.174126319457628
2021-09-01 07:26:23.615000+00:00,2021-09-01 07:36:12.233000+00:00,588,1818,Dynamic Earth,"Outside Dynamic Earth, Holyrood Road",55.951089465236365,-3.17572460948655,1769,Brunswick Place,Corner of Elm Row/Brunswick Street,55.96085174106396,-3.180985762469163
2021-09-01 07:43:55.560000+00:00,2021-09-01 08:44:22.956000+00:00,3627,1767,Bruntsfield Links,Corner of Bruntsfield Links next to Public Toilets,55.937123239991095,-3.206431879393449,1025,Dundee Terrace,Corner of Dundee Street & Dundee Terrace,55.93970989541296,-3.2205889336679547
2021-09-01 07:59:52.801000+00:00,2021-09-01 08:15:37.996000+00:00,945,249,Fountainbridge,Fountainbridge by Gardner's Crescent,55.94335692764551,-3.2092475016246453,259,St Andrew Square,North East corner,55.95490573198223,-3.192443756949956
2021-09-01 08:00:29.797000+00:00,2021-09-01 08:10:03.333000+00:00,573,264,Pollock Halls,Pollock Halls Entrance,55.94008064125911,-3.171746866852459,225,Waverley Court,On Waverley Court forecourt,55.95173449698344,-3.1841785354060903
2021-09-01 08:06:39.989000+00:00,2021-09-01 09:04:16.900000+00:00,3456,1767,Bruntsfield Links,Corner of Bruntsfield Links next to Public Toilets,55.937123239991095,-3.206431879393449,1757,Meggetland,Meggetland Sports Complex,55.92758664038103,-3.2336710530441906
2021-09-01 08:14:19.917000+00:00,2021-09-01 11:49:55.982000+00:00,12936,1798,Chambers Street,Outside National Museum,55.94760044619224,-3.188919736735216,1052,Surgeons Hall,East side of Nicolson Street,55.94664279961712,-3.1854745859388918
2021-09-01 08:22:17.293000+00:00,2021-09-01 08:34:57.172000+00:00,759,264,Pollock Halls,Pollock Halls Entrance,55.94008064125911,-3.171746866852459,289,Castle Street,Near Rose Street,55.95150073734976,-3.2031839065252825
2021-09-01 08:27:46.462000+00:00,2021-09-01 08:40:58.415000+00:00,791,265,Meadows East,Between Melville Terrace and Sciennes,55.939809466328285,-3.182738850746432,254,Kings Building 3,Kings Building House,55.92347880784664,-3.1753845849070785
2021-09-01 08:28:41.094000+00:00,2021-09-01 08:58:23.291000+00:00,1782,1763,Comely Bank Road,Outside Raeburn Place Sports Ground,55.95941012836135,-3.2156613606136943,254,Kings Building 3,Kings Building House,55.92347880784664,-3.1753845849070785
