name,geometry,lat,lon,category
Wester Hailes Library,POINT (-3.2851455 55.9162285),55.9162285,-3.2851455,library
Pirniehall Primary School,POINT (-3.2510739 55.9737056),55.9737056,-3.2510739,school
Corstorphine Library,POINT (-3.2810362 55.9407099),55.9407099,-3.2810362,library
Fettes College Preparatory School,POINT (-3.2259783 55.9666246),55.9666246,-3.2259783,school
Haywired,POINT (-3.1233362 55.9344588),55.9344588,-3.1233362,school
Musselburgh Library,POINT (-3.0563335 55.9427446),55.9427446,-3.0563335,library
St David's RC Primary School,POINT (-3.2505865 55.9737343),55.9737343,-3.2505865,school
Playfair Library,POINT (-3.1869088 55.9472046),55.9472046,-3.1869088,library
Communications & Marketing,POINT (-3.1922264 55.9460305),55.9460305,-3.1922264,university
Mannafields Christian School,POINT (-3.171037 55.9609479),55.9609479,-3.171037,school
Craigmillar Library,POINT (-3.1367474 55.9331942),55.9331942,-3.1367474,library
St Andrew's First Aid,POINT (-3.1719622 55.9768772),55.9768772,-3.1719622,school
Caledonian Language School,POINT (-3.2137763 55.9471277),55.9471277,-3.2137763,school
BSC Edinburgh,POINT (-3.1994168 55.9529392),55.9529392,-3.1994168,school
Lasswade Library,POINT (-3.1137959 55.8717713),55.8717713,-3.1137959,library
Spark of Genius Musselburgh Learning Centre,POINT (-3.0674452 55.9430316),55.9430316,-3.0674452,school
Broomhouse Primary School,POINT (-3.2737099 55.9284829),55.9284829,-3.2737099,school
St Joseph's RC Primary School,POINT (-3.2737141 55.9283187),55.9283187,-3.2737141,school
Fox Covert Primary School,POINT (-3.2797797 55.952496),55.952496,-3.2797797,school
St Andrew's Fox Covert RC Primary School,POINT (-3.2797668 55.9523307),55.9523307,-3.2797668,school
Howdenhall & St Katharine's Special School,POINT (-3.1653365 55.9037635),55.9037635,-3.1653365,school
Edinburgh Montessori Arts School,POINT (-3.1693957 55.9173669),55.9173669,-3.1693957,school
Dalkeith High School,POINT (-3.0453157 55.9016163),55.9016163,-3.0453157,school
Saltersgate School,POINT (-3.0457663 55.9013877),55.9013877,-3.0457663,school
St David's RC High School,POINT (-3.0448758 55.900684),55.900684,-3.0448758,school
Sighthill Library,POINT (-3.2875585 55.9201125),55.9201125,-3.2875585,library
Orcadia Creative Learning Centre,POINT (-3.1132882 55.9518817),55.9518817,-3.1132882,school
Leith Public Library,POINT (-3.1800469 55.9754823),55.9754823,-3.1800469,library
Moray House Library,POINT (-3.1808417 55.9506224),55.9506224,-3.1808417,library
Edinburgh Napier Merchiston Library,POINT (-3.2128229 55.9334673),55.9334673,-3.2128229,library
Advocates Library,POINT (-3.1915551 55.9488724),55.9488724,-3.1915551,library
South Neighbourhood Office and Library,POINT (-3.1531137 55.9028613),55.9028613,-3.1531137,library
Loanhead Library,POINT (-3.1535729 55.8796264),55.8796264,-3.1535729,library
Artiscience Library,POINT (-3.1818686 55.939691),55.939691,-3.1818686,library
Edinburgh College of Art Library,POINT (-3.2005191 55.9460774),55.9460774,-3.2005191,library
Central Children's Library,POINT (-3.1924454 55.9484985),55.9484985,-3.1924454,library
Edinburgh Law School Library,POINT (-3.1876627 55.9476338),55.9476338,-3.1876627,library
Signet Library,POINT (-3.1916095 55.9491104),55.9491104,-3.1916095,library
Newbattle Library,POINT (-3.0485666 55.87442),55.87442,-3.0485666,library
Granton Library,POINT (-3.2267667 55.9767277),55.9767277,-3.2267667,library
Tiler Training School,POINT (-3.1470357 55.9339879),55.9339879,-3.1470357,school
Danderhall Library,POINT (-3.1102172 55.9162181),55.9162181,-3.1102172,library
St Francis' RC Primary School,POINT (-3.1275795 55.9350492),55.9350492,-3.1275795,school
Niddrie Mill Primary School,POINT (-3.1278129 55.9346225),55.9346225,-3.1278129,school
Lecture Theatre 1 (LT1),POINT (-3.3226547 55.9107026),55.9107026,-3.3226547,university
Lecture Theatre 2 (LT2),POINT (-3.3225449 55.9106208),55.9106208,-3.3225449,university
Lecture Theatre 3 (LT3),POINT (-3.3224258 55.9105456),55.9105456,-3.3224258,university
Lecture Theatre 4 (LT4),POINT (-3.3212805 55.9102825),55.9102825,-3.3212805,university
New College Library,POINT (-3.1949634 55.949736),55.949736,-3.1949634,library
Mannafields Christian School,POINT (-3.152655 55.9555238),55.9555238,-3.152655,school
Sighthill Learning Resource Centre (LRC),POINT (-3.2880002 55.9246932),55.9246932,-3.2880002,library
Victoria Manor Care Home,POINT (-3.175409486457825 55.96195680344949),55.9619568,-3.175409486,residential
Fort Primary,POINT (-3.1861957347120877 55.97648064452472),55.97648064,-3.186195735,school
Dalkeith Library,POINT (-3.070264126611174 55.89286101081005),55.89286101,-3.070264127,library
Cramond Primary School,POINT (-3.304438657594803 55.97141010853901),55.97141011,-3.304438658,school
Leonard Horner Hall,POINT (-3.318215975055583 55.91043558298055),55.91043558,-3.318215975,residential
,POINT (-3.2563428614486174 55.94475427866509),55.94475428,-3.256342861,residential
,POINT (-3.1626129711476736 55.92380519599938),55.9238052,-3.162612971,residential
Tesco Bank,POINT (-3.2959918668063004 55.93180446210103),55.93180446,-3.295991867,commercial
,POINT (-3.1571552286671247 55.96564932657135),55.96564933,-3.157155229,residential
Aegon Asset Management,POINT (-3.314039763309612 55.93483735341742),55.93483735,-3.314039763,commercial
,POINT (-3.097998874457817 55.94325687732083),55.94325688,-3.097998874,residential
RBS,POINT (-3.1908096128639447 55.954513447898925),55.95451345,-3.190809613,commercial
,POINT (-3.326681482483244 55.922590087694786),55.92259009,-3.326681482,residential
Dunkeld Flats,POINT (-3.179659144641302 55.95079634843871),55.95079635,-3.179659145,residential
Davidson House,POINT (-3.243113187550571 55.91440848993953),55.91440849,-3.243113188,residential
Blackhall Library,POINT (-3.260969430153263 55.96164590290974),55.9616459,-3.26096943,library
,POINT (-3.228358678467578 55.93979903864056),55.93979904,-3.228358678,commercial
Broughton Primary School,POINT (-3.1892934864513935 55.965714747628674),55.96571475,-3.189293486,school
5 Buccleuch Place Lane,POINT (-3.1846350023684162 55.94254613269857),55.94254613,-3.184635002,residential
Nazareth House,POINT (-3.1098155487691868 55.88266915146412),55.88266915,-3.109815549,residential
St Crispin's School,POINT (-3.1533436373294803 55.898090513356394),55.89809051,-3.153343637,school
Loretto Senior School,POINT (-3.0442159581604145 55.943131611433195),55.94313161,-3.044215958,school
Wardie Primary School,POINT (-3.2134304789181654 55.97530207823471),55.97530208,-3.213430479,school
University of Edinburgh - Easter Bush Campus,POINT (-3.199993152608295 55.86443942578601),55.86443943,-3.199993153,university
University of Edinburgh Bioquarter,POINT (-3.1304597946885817 55.92003105171874),55.92003105,-3.130459795,university
Edinburgh University Library,POINT (-3.1889897474849724 55.94266114068956),55.94266114,-3.188989747,library
Heriot-Watt University,POINT (-3.32290789027479 55.91089126958331),55.91089127,-3.32290789,university
Currie Community High School,POINT (-3.321238960816955 55.89629569479934),55.89629569,-3.321238961,school
EDETA Training Services,POINT (-3.1045249796631564 55.936283947102964),55.93628395,-3.10452498,school
,POINT (-3.3022106196819756 55.919507539937754),55.91950754,-3.30221062,commercial
,POINT (-3.2901870417905643 55.931961855616755),55.93196186,-3.290187042,school
Craigour Park Primary School,POINT (-3.1350864241212775 55.91279733873196),55.91279734,-3.135086424,school
Liberton Primary School,POINT (-3.1617460133259203 55.92278609770206),55.9227861,-3.161746013,school
Astley Ainslie Hospital,POINT (-3.198237379463264 55.92901441876509),55.92901442,-3.198237379,hospital
James Gillespie's High School,POINT (-3.2001371228401543 55.936629818296446),55.93662982,-3.200137123,school
George Watson's College,POINT (-3.2184523657996573 55.92954816287708),55.92954816,-3.218452366,school
South Morningside Primary School,POINT (-3.212312889200762 55.921447845658115),55.92144785,-3.212312889,school
