station_id,x_i,y_i
1017,0,3
1018,0,0
1019,0,3
1024,2,6
1025,0,4
1026,0,2
1028,1,4
1030,0,0
1031,0,0
1033,0,0
1038,1,5
1039,7,7
1040,0,0
1041,0,1
1042,1,1
1050,0,0
1051,6,6
1052,2,6
1055,0,5
1056,0,0
1057,0,0
1090,5,6
1091,0,5
1092,3,3
1093,0,0
1094,0,0
1095,0,0
1096,1,2
1097,4,4
1098,0,2
1102,0,3
171,0,10
1720,0,2
1721,7,7
1722,1,2
1723,0,0
1724,0,0
1725,0,0
1726,3,6
1727,13,13
1728,1,8
1729,3,4
1730,3,3
1731,0,1
1737,0,4
1738,0,2
1739,0,0
1740,0,0
1743,0,0
1744,7,7
1745,1,1
1747,2,2
1748,1,4
1749,0,0
1752,0,1
1753,3,3
1754,0,0
1756,0,2
1757,0,4
1758,0,0
1763,0,4
1764,6,6
1765,1,1
1766,0,0
1767,3,6
1768,4,4
1769,4,6
1770,0,0
1798,2,2
1799,5,5
1800,1,2
1807,0,1
1808,0,1
1809,0,0
1813,1,1
1814,5,8
1815,1,1
1818,0,3
1819,0,0
1820,0,0
1821,3,4
1822,0,0
1823,1,1
1824,0,6
183,0,8
1857,0,0
1859,0,0
1860,0,1
1864,0,0
1865,0,0
1866,0,0
1868,2,2
1869,0,0
1870,0,1
1871,0,0
1874,0,2
1877,0,0
189,3,3
225,0,0
2259,0,3
2263,0,0
2265,0,0
2268,6,6
242,0,0
246,2,2
247,0,1
248,24,24
249,0,4
250,0,10
251,3,3
252,0,3
253,0,3
254,3,3
255,0,0
256,0,1
257,6,7
258,2,5
259,0,8
260,3,7
261,1,4
262,0,3
264,10,10
265,10,10
266,0,0
273,2,2
275,0,2
277,4,4
280,0,0
284,0,0
285,7,7
289,2,7
290,2,4
296,2,2
297,0,0
299,0,0
340,1,2
341,3,3
342,0,0
343,2,2
344,0,3
345,5,5
346,0,2
347,0,1
349,0,3
350,0,0
351,1,1
352,2,2
353,0,0
354,0,0
355,0,3
356,3,3
357,0,3
358,10,10
359,0,0
365,0,0
366,0,1
648,0,0
820,1,5
860,0,0
862,0,2
863,0,0
864,0,0
865,1,1
866,2,2
867,0,0
868,0,1
869,0,0
870,1,1
871,0,0
872,0,0
873,0,0
874,0,0
875,0,0
876,0,0
877,0,0
878,0,0
879,0,0
880,0,7
881,1,2
882,0,0
883,0,0
884,0,0
885,2,2
887,0,0
888,1,1
889,0,0
890,0,0
891,0,0
901,0,0
964,0,0
965,0,0
980,0,0
981,0,0
982,0,0
991,0,0
