station_id,borrowed,returned,net,move_out,move_in
171,9.0,3.0,-6.0,0.0,6.0
183,7.0,4.0,-3.0,0.0,3.0
189,3.0,0.0,-3.0,0.0,3.0
225,4.0,1.0,-3.0,0.0,3.0
246,1.0,3.0,2.0,2.0,0.0
247,13.0,10.0,-3.0,0.0,3.0
248,11.0,8.0,-3.0,0.0,3.0
249,3.0,10.0,7.0,7.0,0.0
250,8.0,8.0,0.0,0.0,0.0
251,1.0,2.0,1.0,1.0,0.0
252,0.0,7.0,7.0,7.0,0.0
253,6.0,5.0,-1.0,0.0,1.0
254,1.0,1.0,0.0,0.0,0.0
255,0.0,1.0,1.0,1.0,0.0
256,2.0,3.0,1.0,1.0,0.0
257,0.0,0.0,0.0,0.0,0.0
258,2.0,2.0,0.0,0.0,0.0
259,12.0,8.0,-4.0,0.0,4.0
260,12.0,1.0,-11.0,0.0,11.0
261,0.0,4.0,4.0,4.0,0.0
262,7.0,12.0,5.0,5.0,0.0
264,3.0,4.0,1.0,1.0,0.0
265,12.0,22.0,10.0,10.0,0.0
266,0.0,0.0,0.0,0.0,0.0
273,1.0,4.0,3.0,3.0,0.0
275,0.0,2.0,2.0,2.0,0.0
277,0.0,0.0,0.0,0.0,0.0
284,0.0,3.0,3.0,3.0,0.0
285,1.0,6.0,5.0,5.0,0.0
289,4.0,10.0,6.0,6.0,0.0
290,5.0,0.0,-5.0,0.0,5.0
296,2.0,1.0,-1.0,0.0,1.0
297,0.0,0.0,0.0,0.0,0.0
340,4.0,0.0,-4.0,0.0,4.0
341,1.0,1.0,0.0,0.0,0.0
342,2.0,0.0,-2.0,0.0,2.0
343,2.0,1.0,-1.0,0.0,1.0
344,1.0,0.0,-1.0,0.0,1.0
345,3.0,1.0,-2.0,0.0,2.0
346,2.0,5.0,3.0,3.0,0.0
347,0.0,0.0,0.0,0.0,0.0
349,0.0,3.0,3.0,3.0,0.0
350,0.0,0.0,0.0,0.0,0.0
351,3.0,0.0,-3.0,0.0,3.0
352,0.0,3.0,3.0,3.0,0.0
353,0.0,0.0,0.0,0.0,0.0
354,0.0,1.0,1.0,1.0,0.0
355,2.0,0.0,-2.0,0.0,2.0
356,3.0,0.0,-3.0,0.0,3.0
357,0.0,0.0,0.0,0.0,0.0
358,6.0,13.0,7.0,7.0,0.0
359,1.0,0.0,-1.0,0.0,1.0
365,0.0,0.0,0.0,0.0,0.0
366,0.0,0.0,0.0,0.0,0.0
648,0.0,0.0,0.0,0.0,0.0
820,2.0,4.0,2.0,2.0,0.0
860,0.0,0.0,0.0,0.0,0.0
862,0.0,0.0,0.0,0.0,0.0
863,0.0,0.0,0.0,0.0,0.0
864,0.0,0.0,0.0,0.0,0.0
865,0.0,0.0,0.0,0.0,0.0
866,0.0,0.0,0.0,0.0,0.0
867,0.0,0.0,0.0,0.0,0.0
868,0.0,0.0,0.0,0.0,0.0
869,0.0,0.0,0.0,0.0,0.0
870,0.0,2.0,2.0,2.0,0.0
871,0.0,0.0,0.0,0.0,0.0
872,0.0,0.0,0.0,0.0,0.0
873,0.0,0.0,0.0,0.0,0.0
874,0.0,0.0,0.0,0.0,0.0
875,0.0,0.0,0.0,0.0,0.0
876,1.0,0.0,-1.0,0.0,1.0
877,0.0,4.0,4.0,4.0,0.0
878,0.0,0.0,0.0,0.0,0.0
879,1.0,0.0,-1.0,0.0,1.0
880,0.0,0.0,0.0,0.0,0.0
881,2.0,1.0,-1.0,0.0,1.0
882,0.0,0.0,0.0,0.0,0.0
883,0.0,0.0,0.0,0.0,0.0
884,0.0,0.0,0.0,0.0,0.0
885,0.0,1.0,1.0,1.0,0.0
887,0.0,0.0,0.0,0.0,0.0
888,0.0,0.0,0.0,0.0,0.0
889,0.0,4.0,4.0,4.0,0.0
890,0.0,1.0,1.0,1.0,0.0
891,0.0,0.0,0.0,0.0,0.0
964,0.0,0.0,0.0,0.0,0.0
965,0.0,0.0,0.0,0.0,0.0
980,0.0,0.0,0.0,0.0,0.0
981,0.0,0.0,0.0,0.0,0.0
982,0.0,0.0,0.0,0.0,0.0
1017,4.0,5.0,1.0,1.0,0.0
1018,0.0,0.0,0.0,0.0,0.0
1019,7.0,3.0,-4.0,0.0,4.0
1024,8.0,6.0,-2.0,0.0,2.0
1025,9.0,2.0,-7.0,0.0,7.0
1026,1.0,0.0,-1.0,0.0,1.0
1028,3.0,6.0,3.0,3.0,0.0
1030,0.0,0.0,0.0,0.0,0.0
1031,0.0,0.0,0.0,0.0,0.0
1033,0.0,0.0,0.0,0.0,0.0
1038,2.0,0.0,-2.0,0.0,2.0
1039,9.0,6.0,-3.0,0.0,3.0
1040,0.0,0.0,0.0,0.0,0.0
1041,0.0,0.0,0.0,0.0,0.0
1042,0.0,0.0,0.0,0.0,0.0
1050,9.0,1.0,-8.0,0.0,8.0
1051,3.0,1.0,-2.0,0.0,2.0
1052,6.0,0.0,-6.0,0.0,6.0
1055,3.0,0.0,-3.0,0.0,3.0
1056,0.0,0.0,0.0,0.0,0.0
1057,0.0,0.0,0.0,0.0,0.0
1090,3.0,8.0,5.0,5.0,0.0
1091,2.0,2.0,0.0,0.0,0.0
1092,4.0,5.0,1.0,1.0,0.0
1093,1.0,0.0,-1.0,0.0,1.0
1095,0.0,0.0,0.0,0.0,0.0
1096,4.0,1.0,-3.0,0.0,3.0
1097,3.0,1.0,-2.0,0.0,2.0
1098,6.0,5.0,-1.0,0.0,1.0
1102,5.0,2.0,-3.0,0.0,3.0
1720,0.0,4.0,4.0,4.0,0.0
1721,5.0,3.0,-2.0,0.0,2.0
1722,0.0,0.0,0.0,0.0,0.0
1723,0.0,0.0,0.0,0.0,0.0
1724,0.0,0.0,0.0,0.0,0.0
1725,0.0,0.0,0.0,0.0,0.0
1726,1.0,0.0,-1.0,0.0,1.0
1727,2.0,3.0,1.0,1.0,0.0
1728,8.0,4.0,-4.0,0.0,4.0
1729,2.0,2.0,0.0,0.0,0.0
1730,4.0,2.0,-2.0,0.0,2.0
1731,0.0,2.0,2.0,2.0,0.0
1737,3.0,6.0,3.0,3.0,0.0
1738,3.0,2.0,-1.0,0.0,1.0
1739,0.0,0.0,0.0,0.0,0.0
1740,0.0,0.0,0.0,0.0,0.0
1743,2.0,3.0,1.0,1.0,0.0
1744,0.0,1.0,1.0,1.0,0.0
1745,3.0,2.0,-1.0,0.0,1.0
1747,0.0,1.0,1.0,1.0,0.0
1748,5.0,1.0,-4.0,0.0,4.0
1749,2.0,2.0,0.0,0.0,0.0
1752,2.0,2.0,0.0,0.0,0.0
1753,2.0,2.0,0.0,0.0,0.0
1754,0.0,0.0,0.0,0.0,0.0
1756,1.0,3.0,2.0,2.0,0.0
1757,5.0,1.0,-4.0,0.0,4.0
1758,0.0,0.0,0.0,0.0,0.0
1763,3.0,5.0,2.0,2.0,0.0
1764,0.0,1.0,1.0,1.0,0.0
1765,1.0,3.0,2.0,2.0,0.0
1766,2.0,3.0,1.0,1.0,0.0
1767,2.0,8.0,6.0,6.0,0.0
1768,6.0,1.0,-5.0,0.0,5.0
1769,3.0,1.0,-2.0,0.0,2.0
1770,0.0,0.0,0.0,0.0,0.0
1798,0.0,4.0,4.0,4.0,0.0
1799,0.0,1.0,1.0,1.0,0.0
1800,0.0,8.0,8.0,8.0,0.0
1807,3.0,0.0,-3.0,0.0,3.0
1808,5.0,6.0,1.0,1.0,0.0
1809,0.0,0.0,0.0,0.0,0.0
1813,0.0,2.0,2.0,2.0,0.0
1814,1.0,1.0,0.0,0.0,0.0
1815,0.0,0.0,0.0,0.0,0.0
1818,1.0,2.0,1.0,1.0,0.0
1819,0.0,0.0,0.0,0.0,0.0
1820,0.0,0.0,0.0,0.0,0.0
1821,4.0,2.0,-2.0,0.0,2.0
1822,3.0,0.0,-3.0,0.0,3.0
1823,5.0,4.0,-1.0,0.0,1.0
1824,5.0,8.0,3.0,3.0,0.0
1857,0.0,0.0,0.0,0.0,0.0
1859,0.0,2.0,2.0,2.0,0.0
1860,0.0,1.0,1.0,1.0,0.0
1864,0.0,0.0,0.0,0.0,0.0
1865,0.0,0.0,0.0,0.0,0.0
1866,0.0,0.0,0.0,0.0,0.0
1868,0.0,0.0,0.0,0.0,0.0
1869,0.0,0.0,0.0,0.0,0.0
1870,0.0,0.0,0.0,0.0,0.0
1871,0.0,0.0,0.0,0.0,0.0
1874,0.0,0.0,0.0,0.0,0.0
1877,0.0,0.0,0.0,0.0,0.0
2259,1.0,2.0,1.0,1.0,0.0
2263,0.0,0.0,0.0,0.0,0.0
2265,0.0,0.0,0.0,0.0,0.0
2268,2.0,0.0,-2.0,0.0,2.0
242,0.0,0.0,0.0,0.0,0.0
280,0.0,0.0,0.0,0.0,0.0
299,0.0,0.0,0.0,0.0,0.0
