station_id,latitude,longitude,initial_stock,capacity,net,move_out,move_in
171,55.94308406301113,-3.1883110727224,0,3,2.0,2.0,0.0
183,55.95134439884462,-3.191420998989884,4,4,-1.0,0.0,1.0
189,55.95010933017899,-3.190257770093808,6,6,-4.0,0.0,4.0
225,55.95173449698344,-3.1841785354060903,1,3,-1.0,0.0,1.0
246,55.93900024788877,-3.173923554315593,15,15,-13.0,0.0,13.0
247,55.95233546161639,-3.2071011721072864,11,11,-11.0,0.0,11.0
248,55.94600418964078,-3.188665492872815,8,8,-5.0,0.0,5.0
249,55.94335692764551,-3.2092475016246453,7,7,-6.0,0.0,6.0
250,55.97763778772698,-3.174115590621568,1,6,5.0,5.0,0.0
251,55.952641035774384,-3.187526919462357,3,4,1.0,1.0,0.0
252,55.92418540667696,-3.173830830087809,1,3,-1.0,0.0,1.0
253,55.92320215516664,-3.1716462453634904,1,3,0.0,0.0,0.0
254,55.92347880784664,-3.1753845849070785,0,10,6.0,6.0,0.0
255,55.92200087060626,-3.176901814164921,0,3,2.0,2.0,0.0
256,55.95316433242384,-3.181682340931843,4,4,-3.0,0.0,3.0
257,55.957004308392506,-3.1168881187301167,2,10,6.0,6.0,0.0
258,55.95856558589723,-3.208070182227744,4,5,-1.0,0.0,1.0
259,55.95474881217642,-3.192773668658788,8,8,-13.0,0.0,13.0
260,55.94477165233548,-3.197265856419562,4,6,-4.0,0.0,4.0
261,55.960929747664,-3.181005314780577,11,11,-7.0,0.0,7.0
262,55.96280408759764,-3.196283585062929,0,6,3.0,3.0,0.0
264,55.93996346972372,-3.1715859343115653,3,4,-2.0,0.0,2.0
265,55.939809466328285,-3.182738850746432,4,7,-1.0,0.0,1.0
266,55.97424715757633,-3.1944823421042656,0,3,0.0,0.0,0.0
273,55.96253727246136,-3.179472670388236,1,3,4.0,4.0,0.0
275,55.945159896857184,-3.2036782907171077,5,5,-5.0,0.0,5.0
277,55.95950417668882,-3.2234280553759618,0,3,0.0,0.0,0.0
284,55.96919856910954,-3.1668846170233564,0,3,0.0,0.0,0.0
285,55.981286014792985,-3.176351263805259,0,3,0.0,0.0,0.0
289,55.95150073734976,-3.2031839065252825,1,5,4.0,4.0,0.0
290,55.93715871276677,-3.206435329645956,1,3,6.0,6.0,0.0
296,55.94676648672239,-3.202037829055143,4,6,-4.0,0.0,4.0
297,55.92429517498461,-3.133510335817164,0,3,0.0,0.0,0.0
340,55.94030045743447,-3.194591930765,1,3,0.0,0.0,0.0
341,55.938363058645024,-3.198031182386103,1,3,-1.0,0.0,1.0
342,55.93632904938287,-3.2022945366760496,0,3,0.0,0.0,0.0
343,55.93536510821717,-3.198671326704016,0,3,0.0,0.0,0.0
344,55.93639749674367,-3.194252202886105,0,3,1.0,1.0,0.0
345,55.93403480186952,-3.2108032288005006,5,5,-5.0,0.0,5.0
346,55.92798551356313,-3.209738736635245,0,4,0.0,0.0,0.0
347,55.944867799682754,-3.182670511194715,1,3,0.0,0.0,0.0
349,55.95508276879095,-3.2236342639564555,0,3,0.0,0.0,0.0
350,55.9417543014448,-3.2225242918653976,0,3,0.0,0.0,0.0
351,55.94271471556419,-3.221430982426,0,3,0.0,0.0,0.0
352,55.93972942415463,-3.220602995527315,2,5,3.0,3.0,0.0
353,55.94049262199568,-3.217144191708712,0,3,0.0,0.0,0.0
354,55.97126891219085,-3.20781571753048,2,3,-2.0,0.0,2.0
355,55.96414559786725,-3.2020735606114386,1,4,3.0,3.0,0.0
356,55.95994339132352,-3.187329201962484,5,5,-5.0,0.0,5.0
357,55.96399515097124,-3.185188767893123,1,7,6.0,6.0,0.0
358,55.96503980507732,-3.1766864147848537,0,3,3.0,3.0,0.0
359,55.93642987756881,-3.1801149035579783,0,3,1.0,1.0,0.0
365,55.94489645971535,-3.1996352215008983,0,3,0.0,0.0,0.0
366,55.97592738157906,-3.191317916099706,4,9,7.0,7.0,0.0
648,55.96345848770889,-3.23280956008216,0,3,3.0,3.0,0.0
820,55.97070402016615,-3.171623996101516,0,3,4.0,4.0,0.0
860,55.94034806856411,-3.172108169850503,0,3,1.0,1.0,0.0
862,55.98002374180832,-3.300622016981152,1,3,-1.0,0.0,1.0
863,55.96953169937321,-3.3073054252522525,0,3,0.0,0.0,0.0
864,55.96152699979099,-3.3061141754915297,0,3,0.0,0.0,0.0
865,55.95661859471628,-3.2378029682010947,0,3,0.0,0.0,0.0
866,55.95940686974708,-3.2156598206622675,0,3,0.0,0.0,0.0
867,55.96026010209808,-3.203912595837096,0,3,0.0,0.0,0.0
868,55.96094446922441,-3.2013869942491056,2,3,-2.0,0.0,2.0
869,55.95791033111316,-3.180692837632364,0,3,1.0,1.0,0.0
870,55.957803310852015,-3.1754794362148004,0,4,4.0,4.0,0.0
871,55.94274592050117,-3.281623013233002,0,3,0.0,0.0,0.0
872,55.94294485385191,-3.2907940692573447,0,3,0.0,0.0,0.0
873,55.94174288122498,-3.2714843607752755,0,3,2.0,2.0,0.0
874,55.942221825711776,-3.268697484588188,0,3,0.0,0.0,0.0
875,55.942364438846695,-3.265384123501235,0,3,0.0,0.0,0.0
876,55.94476686576929,-3.243687888944919,0,3,2.0,2.0,0.0
877,55.94632179137708,-3.236542329964095,4,4,-4.0,0.0,4.0
878,55.93893772779211,-3.2511733330509287,0,3,0.0,0.0,0.0
879,55.93802439880083,-3.1849792102048013,0,3,2.0,2.0,0.0
880,55.96403450946105,-3.195673725279903,0,3,0.0,0.0,0.0
881,55.94428069681837,-3.20296435923774,0,3,0.0,0.0,0.0
882,55.94604282192561,-3.210484908343801,0,3,1.0,1.0,0.0
883,55.95454278693572,-3.23472817617926,0,3,0.0,0.0,0.0
884,55.96248692705142,-3.232031328469361,0,3,1.0,1.0,0.0
885,55.9456092021698,-3.2317156191592176,0,3,0.0,0.0,0.0
887,55.94446626439512,-3.234541218248978,0,3,3.0,3.0,0.0
